"t(s)"	"xR(m)"	"yR(m)"	"vR(m/s)"	"N° WP"	"dist WP (m)"	"xCentreCercle(m)"	"yCentreCercle(m)"	"directionWP(rad)"	"xRobot/WP(m)"	"yRobot/WP(m)"	"Rayon(m)"	"capRobot(rad)"	"capCercleIdeal(rad)"	"ecartAngulaire_rad(rad)"	"consV_MDroit(rad/s)"	"consV_MGauche(rad/s)"	"vConsCGrad/s"	"distCurvWP(m)"	"distDecel(m)"
0	0	0	0																
10	0	0	0	0	1,41421	0	1	0	-1	-1	-1	0	01/01/5708	01/01/5708	0,00910933	1,43089	0,72	0	0
20	0	0,000005	0,0005	0	1,41421	0,00000499999	1	0	-1	-0,999995	-0,999995	0,0000329116	01/01/5708	1,57077	0,018219	2,86178	01/01/1944	0	0
30	0,000000000411395	0,0000175	0,00125	0	01/01/4142	0,0000174998	1	0	-1	-0,999983	-0,999983	0,000115191	1,57081	01/01/5707	0,0273297	4,29267	01/02/2016	0	0
40	0,0000000028592	0,00003875	0,002125	0	1,41419	0,0000387492	1	0	-1	-0,999961	-0,999961	0,000255065	1,57084	1,57058	0,0364423	5,72356	01/02/1988	0	0
50	0,0000000106706	0,000069375	0,0030625	0	1,41416	0,0000693726	1	0	-1	-0,999931	-0,999931	0,000456648	1,57087	1,57041	0,0455578	7,15444	03/06/2006	0	0
60	0,0000000290792	0,000109687	0,00403125	0	1,41414	0,000109681	1	0	-1	-0,99989	-0,99989	0,000721997	1,57091	1,57018	0,0546772	8,58532	01/04/1932	0	0
70	0,0000000652919	0,000159844	0,00501563	0	01/01/4141	0,000159831	1	0	-1	-0,99984	-0,99984	0,00105214	1,57096	01/01/5699	0,0638013	01/10/162	05/04/2006	0	0
80	0,000000128502	0,000219922	0,00600781	0	1,41406	0,000219898	1	0	-1	-0,99978	-0,99978	0,00144759	1,57102	1,56957	0,0729313	01/11/4471	01/05/1976	0	0
90	0,00000022989	0,000289961	0,00700391	0	1,41401	0,000289919	1	0	-1	-0,99971	-0,99971	0,00190861	1,57109	1,56918	0,082068	01/12/8779	01/06/1948	0	0
100	0,000000382616	0,00036998	0,00800195	0	1,41395	0,000369912	1	0	-1	-0,99963	-0,99963	0,00243532	1,57117	1,56873	0,0912125	14,3088	07/02/2006	0	0
110	0,000000601818	0,00045999	0,00900098	0	1,41389	0,000459884	1	0	-0,999999	-0,99954	-0,99954	0,00302778	1,57126	1,56823	0,100366	15,7396	01/07/1992	0	0
120	0,000000904611	0,000559994	0,0100005	0	1,41382	0,000559838	1	0	-0,999999	-0,99944	-0,99944	0,00368603	1,57136	1,56767	0,109529	17,1705	01/08/1964	0	0
130	0,00000131008	0,000669996	0,0110002	0	1,41374	0,000669772	1	0	-0,999999	-0,99933	-0,99933	0,00441009	1,57147	1,56706	0,118702	18,6013	01/09/1936	0	0
140	0,0000018393	0,000789996	0,0120001	0	1,41365	0,000789685	1	0	-0,999998	-0,99921	-0,99921	0,00519995	1,57158	1,56638	0,127888	20,0321	10/08/2006	0	0
150	0,00000251529	0,000919995	0,0130001	0	1,41356	0,000919574	1	0	-0,999997	-0,99908	-0,99908	0,00605563	1,57171	1,56566	0,137086	21,4629	10/08/2006	0	0
160	0,00000336308	0,00105999	0,014	0	1,41346	0,00105943	1	0	-0,999997	-0,99894	-0,998941	0,00697712	1,57185	1,56488	0,146297	22,8937	01/11/1952	0	0
170	0,00000440964	0,00120999	0,015	0	1,41336	0,00120926	1	0	-0,999996	-0,99879	-0,998791	0,00796443	01/01/572	1,56404	0,155524	24,3245	01/12/2024	0	0
